km_age,mark,model,power,segment,state,transmission,year,engine_type,region,body_type,color,drive_type,wheell_type,condition,owners_count,customs_cleared,price
81000,FORD,EXPLORER,360,MEDIUM,used,AUTOMATIC,2013,GASOLINE,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,3 или более,Растаможен,1149000
0,AUDI,Q7,249,PREMIUM,new,AUTOMATIC,2020,DIESEL,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,6368900
64099,MERCEDES,GLE_KLASSE_COUPE,249,PREMIUM,used,AUTOMATIC,2015,DIESEL,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,3498000
29662,KIA,K900,249,PREMIUM,used,AUTOMATIC,2019,GASOLINE,Москва,седан,белый,полный,Левый,Не требует ремонта,1 владелец,Растаможен,3012000
107500,HONDA,CR_V,190,MEDIUM,used,AUTOMATIC,2013,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,1245000
15600,VAZ,2114,81,ECONOMY,used,MECHANICAL,2008,GASOLINE,Москва,хэтчбек 5 дв.,серебристый,передний,Левый,Не требует ремонта,1 владелец,Растаможен,230000
138000,MERCEDES,C_KLASSE,184,PREMIUM,used,AUTOMATIC,2012,GASOLINE,Москва,седан,чёрный,задний,Левый,Не требует ремонта,3 или более,Растаможен,880000
93856,MERCEDES,GLC_KLASSE,211,PREMIUM,used,AUTOMATIC,2016,GASOLINE,Москва,внедорожник 5 дв.,серый,полный,Левый,Не требует ремонта,3 или более,Растаможен,1942000
0,MERCEDES,S_CLASS_MAYBACH,367,PREMIUM,new,AUTOMATIC,2019,GASOLINE,Москва,седан,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,10996800
0,MERCEDES,G_KLASSE_AMG,585,PREMIUM,new,AUTOMATIC,2020,GASOLINE,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,21523200
98587,MERCEDES,GLE_KLASSE_COUPE,333,PREMIUM,used,AUTOMATIC,2015,GASOLINE,Москва,внедорожник 5 дв.,серый,полный,Левый,Не требует ремонта,3 или более,Растаможен,3100000
197512,PORSCHE,PANAMERA,500,PREMIUM,used,ROBOT,2009,GASOLINE,Москва,хэтчбек 5 дв.,синий,полный,Левый,Не требует ремонта,3 или более,Растаможен,1798000
7764,PORSCHE,CAYENNE_COUPE,340,PREMIUM,used,AUTOMATIC,2019,GASOLINE,Москва,внедорожник 5 дв.,серый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,7450000
59000,VAZ,LARGUS,106,ECONOMY,used,MECHANICAL,2018,GASOLINE,Москва,универсал 5 дв.,серебристый,передний,Левый,Не требует ремонта,2 владельца,Растаможен,639000
73000,VOLKSWAGEN,TIGUAN,170,MEDIUM,used,AUTOMATIC,2013,GASOLINE,Москва и Московская область,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,869000
0,AUDI,A6,245,PREMIUM,new,ROBOT,2020,GASOLINE,Москва,седан,серебристый,неизвестно,Левый,Новая,0 владелецев,Растаможен,3490000
39800,MERCEDES,AMG_GT,510,PREMIUM,used,ROBOT,2015,GASOLINE,Москва,купе,белый,задний,Левый,Не требует ремонта,2 владельца,Растаможен,5599000
122000,TOYOTA,HIGHLANDER,273,MEDIUM,used,AUTOMATIC,2012,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,1250000
82212,MERCEDES,G_KLASSE_AMG,544,PREMIUM,used,AUTOMATIC,2013,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,4718000
0,MITSUBISHI,OUTLANDER,146,MEDIUM,new,VARIATOR,2020,GASOLINE,Москва,внедорожник 5 дв.,белый,неизвестно,Левый,Новая,0 владелецев,Растаможен,1809000
99000,HONDA,PILOT,257,PREMIUM,used,AUTOMATIC,2008,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,739000
0,TOYOTA,CAMRY,181,MEDIUM,new,AUTOMATIC,2020,GASOLINE,Москва,седан,белый,неизвестно,Левый,Новая,0 владелецев,Растаможен,2425000
167000,TOYOTA,LAND_CRUISER_PRADO,249,PREMIUM,used,AUTOMATIC,2003,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,1340000
71073,VOLVO,XC90,225,PREMIUM,used,AUTOMATIC,2015,DIESEL,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,2584000
60785,AUDI,A8,340,PREMIUM,used,AUTOMATIC,2018,GASOLINE,Москва,седан,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,4785000
0,AUDI,Q8,249,PREMIUM,new,AUTOMATIC,2020,DIESEL,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,6140000
47245,BMW,X7,249,PREMIUM,used,AUTOMATIC,2019,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,5899000
76000,TOYOTA,LAND_CRUISER_PRADO,173,PREMIUM,used,AUTOMATIC,2015,DIESEL,Москва,внедорожник 5 дв.,серебристый,полный,Левый,Не требует ремонта,1 владелец,Растаможен,2499000
146456,MERCEDES,GL_KLASSE,333,PREMIUM,used,AUTOMATIC,2014,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,2250000
0,MERCEDES,G_KLASSE_AMG,585,PREMIUM,new,AUTOMATIC,2020,GASOLINE,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,19300000
127409,VOLKSWAGEN,MULTIVAN,140,PREMIUM,used,MECHANICAL,2013,DIESEL,Москва,минивэн,белый,передний,Левый,Не требует ремонта,2 владельца,Растаможен,1818000
163727,GMC,SAVANA,301,MEDIUM,used,AUTOMATIC,2011,GASOLINE,Москва,минивэн,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,1630000
107658,BMW,4,184,PREMIUM,used,AUTOMATIC,2014,DIESEL,Москва,купе,синий,полный,Левый,Не требует ремонта,3 или более,Растаможен,1539000
49790,HYUNDAI,H_1_STAREX,170,MEDIUM,used,AUTOMATIC,2018,DIESEL,Москва,минивэн,чёрный,задний,Левый,Не требует ремонта,2 владельца,Растаможен,2099000
0,MERCEDES,G_KLASSE,249,PREMIUM,new,AUTOMATIC,2020,DIESEL,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,13052800
486,BENTLEY,BENTAYGA,550,PREMIUM,used,AUTOMATIC,2019,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,15965000
119,MERCEDES,G_KLASSE,422,PREMIUM,used,AUTOMATIC,2020,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,15888000
0,AUDI,A5,249,PREMIUM,new,ROBOT,2020,GASOLINE,Москва,купе,зелёный,неизвестно,Левый,Новая,0 владелецев,Растаможен,3590000
31000,TOYOTA,CAMRY,181,MEDIUM,used,AUTOMATIC,2019,GASOLINE,Москва,седан,чёрный,передний,Левый,Не требует ремонта,1 владелец,Растаможен,2100000
